,Lithology_(main),Hydrocarbon_type_(main),Tectonic_regime,Structural_setting,Region,Permeability_(air_average_mD),Porosity_(matrix_average_%),Depth_(top_reservoir_ft_TVD),Thickness_(gross_average_ft),Thickness_(net_pay_average_ft),Reservoir_period
3159,SANDSTONE,GAS-CONDENSATE,COMPRESSION,SUB-THRUST,NORTH AMERICA,5.3,10.15,15389.0,1152.0,1700.5,PERMIAN
3160,SANDSTONE,OIL,GRAVITY,DELTA,NORTH AMERICA,850.0,12.65,1320.5,1152.0,1700.5,PERMIAN
3161,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,26.25,2960.5,101.0,11.5,CARBONIFEROUS
3162,SANDSTONE,GAS,EXTENSION,RIFT,AFRICA,361.0,17.5,10170.0,101.0,71.5,NEOGENE
3163,DOLOMITE,GAS,EXTENSION,RIFT,EUROPE,1.305,5.05,7513.5,160.0,48.25,JURASSIC
3164,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,35.0,12.65,7513.5,1152.0,1700.5,CRETACEOUS
3165,DOLOMITE,OIL,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,1.305,5.05,5153.499999999999,7000.0,101.5,TRIASSIC
3166,CHALKY LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,4350.0,15.0,10170.0,1152.0,1700.5,CRETACEOUS
3167,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,361.0,17.5,2960.5,160.0,29.75,NEOGENE
3168,SANDSTONE,OIL,EXTENSION,PASSIVE MARGIN,FAR EAST,4350.0,41.5,1320.5,475.0,101.5,JURASSIC
3169,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,4350.0,17.5,2960.5,46.5,48.25,CRETACEOUS
3170,LIMESTONE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,161.0,22.75,7513.5,7000.0,337.5,TRIASSIC
3171,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,35.0,12.65,15389.0,7000.0,337.5,NEOGENE
3172,SANDSTONE,OIL,INVERSION,INVERSION,FORMER SOVIET UNION,361.0,12.65,5153.499999999999,101.0,29.75,CRETACEOUS
3173,LIMESTONE,OIL,EXTENSION,RIFT,AFRICA,4350.0,17.5,8763.5,345.0,101.5,CRETACEOUS
3174,DOLOMITIC LIMESTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,NORTH AMERICA,4350.0,26.25,1320.5,46.5,29.75,PERMIAN
3175,SANDSTONE,OIL,COMPRESSION,INVERSION,FORMER SOVIET UNION,35.0,10.15,5153.499999999999,7000.0,140.0,CARBONIFEROUS
3176,DOLOMITE,OIL,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,75.0,10.15,1320.5,101.0,29.75,DEVONIAN
3177,SANDSTONE,OIL,EXTENSION,RIFT,NORTH AMERICA,35.0,20.0,7513.5,676.9999999999999,48.25,CRETACEOUS
3178,SANDSTONE,OIL,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,14.0,10.15,7513.5,345.0,101.5,CRETACEOUS
3179,SANDSTONE,GAS,INVERSION,SALT,EUROPE,850.0,22.75,8763.5,46.5,48.25,JURASSIC
3180,SANDSTONE,OIL,COMPRESSION,WRENCH,NORTH AMERICA,5.3,5.05,1320.5,676.9999999999999,48.25,TRIASSIC
3181,SANDSTONE,OIL,GRAVITY,SALT,MIDDLE EAST,4350.0,26.25,2960.5,245.0,140.0,PALEOGENE
3182,DOLOMITE,OIL,COMPRESSION,THRUST,NORTH AMERICA,4350.0,12.65,4089.999999999999,676.9999999999999,1700.5,CARBONIFEROUS
3183,LIMESTONE,OIL,EXTENSION,RIFT,FAR EAST,1.305,5.05,8763.5,46.5,11.5,PALEOGENE
3184,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,17.5,2960.5,160.0,71.5,CRETACEOUS
3185,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,850.0,17.5,10170.0,345.0,71.5,JURASSIC
3186,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,14.0,17.5,7513.5,46.5,11.5,CARBONIFEROUS
3187,THINLY-BEDDED SANDSTONE,GAS,STRIKE-SLIP,INVERSION,FORMER SOVIET UNION,850.0,41.5,7513.5,245.0,101.5,CARBONIFEROUS
3188,SHALY SANDSTONE,OIL,GRAVITY,SALT,LATIN AMERICA,850.0,41.5,8763.5,101.0,71.5,CRETACEOUS
3189,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,850.0,26.25,1320.5,160.0,101.5,NEOGENE
3190,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,12.65,6288.5,676.9999999999999,1700.5,CRETACEOUS
3191,LIMESTONE,GAS,INVERSION,FORELAND,NORTH AMERICA,35.0,22.75,10170.0,245.0,71.5,PERMIAN
3192,SANDSTONE,GAS,EXTENSION,RIFT,EUROPE,850.0,26.25,6288.5,475.0,101.5,JURASSIC
3193,SANDSTONE,OIL,COMPRESSION,FORELAND,FORMER SOVIET UNION,850.0,20.0,1320.5,7000.0,1700.5,PROTEROZOIC
3194,SANDSTONE,OIL,INVERSION,INVERSION,EUROPE,850.0,22.75,1320.5,101.0,71.5,CRETACEOUS
3195,SANDSTONE,OIL,COMPRESSION,SUB-THRUST,NORTH AMERICA,35.0,20.0,8763.5,46.5,29.75,CARBONIFEROUS
3196,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,161.0,20.0,5153.499999999999,345.0,140.0,CARBONIFEROUS
3197,LIMESTONE,OIL,GRAVITY,PASSIVE MARGIN,AFRICA,35.0,26.25,2960.5,345.0,29.75,CRETACEOUS
3198,SANDSTONE,GAS,COMPRESSION,SUB-THRUST,NORTH AMERICA,1.305,10.15,7513.5,7000.0,71.5,NEOGENE
3199,LIMESTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,35.0,5.05,4089.999999999999,101.0,71.5,CRETACEOUS
3200,DOLOMITE,GAS,EXTENSION,PASSIVE MARGIN,LATIN AMERICA,850.0,26.25,15389.0,1152.0,101.5,NEOGENE
3201,LIMESTONE,OIL,COMPRESSION,SALT,MIDDLE EAST,35.0,10.15,15389.0,245.0,140.0,CRETACEOUS
3202,DOLOMITE,OIL,COMPRESSION,FORELAND,LATIN AMERICA,35.0,17.5,4089.999999999999,7000.0,205.0,PALEOGENE
3203,LIMESTONE,OIL,COMPRESSION,THRUST,NORTH AMERICA,35.0,22.75,10170.0,1152.0,205.0,CRETACEOUS
3204,SANDSTONE,OIL,GRAVITY,DELTA,NORTH AMERICA,850.0,26.25,8763.5,475.0,140.0,PALEOGENE
3205,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,161.0,10.15,7513.5,46.5,11.5,CARBONIFEROUS
3206,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,4350.0,41.5,1320.5,345.0,140.0,PALEOGENE
3207,SANDSTONE,OIL,STRIKE-SLIP,WRENCH,NORTH AMERICA,161.0,17.5,15389.0,676.9999999999999,101.5,PALEOGENE
3208,LOW-RESISTIVITY SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,4350.0,41.5,1320.5,160.0,48.25,NEOGENE
3209,DOLOMITE,OIL,EXTENSION,RIFT,LATIN AMERICA,14.0,5.05,10170.0,101.0,29.75,CRETACEOUS
3210,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,14.0,22.75,6288.5,676.9999999999999,48.25,CRETACEOUS
3211,LOW-RESISTIVITY SANDSTONE,OIL,EXTENSION,RIFT,AFRICA,14.0,12.65,15389.0,101.0,11.5,CRETACEOUS
3212,CONGLOMERATE,OIL,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,161.0,10.15,7513.5,345.0,140.0,CARBONIFEROUS
3213,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,850.0,26.25,6288.5,475.0,337.5,CRETACEOUS
3214,THINLY-BEDDED SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,361.0,20.0,4089.999999999999,46.5,11.5,CRETACEOUS
3215,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,26.25,2960.5,46.5,11.5,NEOGENE
3216,SANDSTONE,OIL,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,850.0,17.5,2960.5,46.5,11.5,CRETACEOUS
3217,SANDSTONE,OIL,EXTENSION,SUB-SALT,AFRICA,35.0,5.05,2960.5,7000.0,29.75,NEOGENE
3218,SANDSTONE,OIL,STRIKE-SLIP,THRUST,LATIN AMERICA,161.0,10.15,15389.0,345.0,140.0,PALEOGENE
3219,LIMESTONE,GAS,GRAVITY,SALT,MIDDLE EAST,5.3,5.05,15389.0,7000.0,1700.5,PERMIAN
3220,LIMESTONE,OIL,TRANSPRESSION,PASSIVE MARGIN,FORMER SOVIET UNION,35.0,10.15,10170.0,7000.0,140.0,CARBONIFEROUS
3221,LIMESTONE,OIL,GRAVITY,SALT,NORTH AMERICA,75.0,20.0,5153.499999999999,46.5,29.75,PALEOGENE
3222,SANDSTONE,OIL,INVERSION,RIFT,FAR EAST,161.0,20.0,6288.5,1152.0,1700.5,NEOGENE
3223,SANDSTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,MIDDLE EAST,5.3,12.65,2960.5,46.5,48.25,CRETACEOUS
3224,SANDSTONE,OIL,COMPRESSION,THRUST,FAR EAST,14.0,20.0,1320.5,1152.0,1700.5,NEOGENE
3225,SANDSTONE,METHANE HYDRATE,COMPRESSION,SALT,MIDDLE EAST,161.0,22.75,10170.0,160.0,140.0,CRETACEOUS
3226,LIMESTONE,GAS-CONDENSATE,INVERSION,INVERSION,FAR EAST,14.0,17.5,6288.5,676.9999999999999,337.5,NEOGENE
3227,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,361.0,26.25,1320.5,245.0,140.0,PALEOGENE
3228,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,850.0,26.25,1320.5,1152.0,101.5,PROTEROZOIC
3229,SANDSTONE,GAS-CONDENSATE,STRIKE-SLIP,WRENCH,AFRICA,361.0,22.75,2960.5,345.0,337.5,CAMBRIAN
3230,LIMESTONE,OIL,EXTENSION,SUB-SALT,AFRICA,35.0,12.65,7513.5,46.5,48.25,NEOGENE
3231,SANDSTONE,OIL,GRAVITY,SUB-SALT,NORTH AMERICA,14.0,20.0,7513.5,101.0,11.5,NEOGENE
3232,SANDSTONE,OIL,STRIKE-SLIP,INVERSION,FORMER SOVIET UNION,161.0,22.75,2960.5,7000.0,1700.5,JURASSIC
3233,SANDSTONE,OIL,INVERSION,FORELAND,NORTH AMERICA,4350.0,26.25,2960.5,101.0,71.5,CARBONIFEROUS
3234,CHALK,OIL,INVERSION,INVERSION,FAR EAST,4350.0,26.25,7513.5,1152.0,337.5,NEOGENE
3235,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,850.0,26.25,1320.5,7000.0,1700.5,NEOGENE
3236,LIMESTONE,OIL,EXTENSION,RIFT,FAR EAST,850.0,26.25,15389.0,46.5,11.5,ARCHEAN
3237,SANDSTONE,GAS-CONDENSATE,EXTENSION,SUB-SALT,AFRICA,361.0,41.5,8763.5,245.0,337.5,CAMBRIAN
3238,SANDSTONE,OIL,COMPRESSION,FORELAND,FORMER SOVIET UNION,361.0,12.65,4089.999999999999,160.0,101.5,DEVONIAN
3239,SANDSTONE,OIL,INVERSION,INVERSION,EUROPE,161.0,15.0,4089.999999999999,101.0,11.5,JURASSIC
3240,LIMESTONE,OIL,EXTENSION,SUB-SALT,AFRICA,35.0,17.5,10170.0,676.9999999999999,337.5,NEOGENE
3241,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,5.3,10.15,8763.5,160.0,71.5,JURASSIC
3242,SANDSTONE,GAS,COMPRESSION,FORELAND,MIDDLE EAST,4350.0,26.25,15389.0,101.0,48.25,CAMBRIAN
3243,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,75.0,12.65,7513.5,46.5,48.25,CARBONIFEROUS
3244,SANDSTONE,GAS-CONDENSATE,EXTENSION,RIFT,NORTH AMERICA,361.0,17.5,15389.0,475.0,337.5,DEVONIAN
3245,SANDSTONE,GAS-CONDENSATE,EXTENSION,RIFT,EUROPE,35.0,15.0,15389.0,245.0,48.25,CRETACEOUS
3246,CONGLOMERATE,GAS-CONDENSATE,COMPRESSION,FORELAND,MIDDLE EAST,361.0,17.5,6288.5,160.0,48.25,CRETACEOUS
3247,DOLOMITE,OIL,COMPRESSION,INTRACRATONIC,AFRICA,1.305,5.05,7513.5,101.0,71.5,CRETACEOUS
3248,SANDSTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,1.305,10.15,15389.0,101.0,11.5,DEVONIAN
3249,SANDSTONE,OIL,GRAVITY,DELTA,NORTH AMERICA,361.0,17.5,7513.5,475.0,205.0,CARBONIFEROUS
3250,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,20.0,5153.499999999999,101.0,71.5,PALEOGENE
3251,CONGLOMERATE,OIL,EXTENSION,RIFT,AFRICA,1.305,12.65,6288.5,676.9999999999999,337.5,CRETACEOUS
3252,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,161.0,20.0,2960.5,676.9999999999999,1700.5,NEOGENE
3253,LOW-RESISTIVITY SANDSTONE,OIL,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,361.0,26.25,10170.0,101.0,71.5,CARBONIFEROUS
3254,SANDSTONE,OIL,INVERSION,SALT,EUROPE,4350.0,26.25,15389.0,475.0,140.0,TRIASSIC
3255,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,14.0,20.0,6288.5,101.0,11.5,CRETACEOUS
3256,LIMESTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,35.0,20.0,10170.0,46.5,29.75,DEVONIAN
3257,SANDSTONE,GAS-CONDENSATE,COMPRESSION,THRUST,NORTH AMERICA,361.0,17.5,1320.5,345.0,71.5,CRETACEOUS
3258,SANDSTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,MIDDLE EAST,5.3,20.0,1320.5,160.0,29.75,CRETACEOUS
3259,CONGLOMERATE,GAS,COMPRESSION,SALT,MIDDLE EAST,161.0,10.15,6288.5,345.0,337.5,CRETACEOUS
3260,SANDSTONE,OIL,TRANSPRESSION,PASSIVE MARGIN,FORMER SOVIET UNION,161.0,17.5,5153.499999999999,101.0,11.5,CRETACEOUS
3261,SANDSTONE,OIL,INVERSION,FORELAND,NORTH AMERICA,161.0,22.75,4089.999999999999,101.0,71.5,PERMIAN
3262,DOLOMITE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,5.3,15.0,4089.999999999999,101.0,71.5,PERMIAN
3263,SANDSTONE,OIL,COMPRESSION,FORELAND,FORMER SOVIET UNION,35.0,15.0,6288.5,46.5,29.75,CRETACEOUS
3264,SANDSTONE,OIL,COMPRESSION,THRUST,FORMER SOVIET UNION,161.0,10.15,15389.0,7000.0,29.75,CRETACEOUS
3265,SANDSTONE,OIL,INVERSION,RIFT,EUROPE,161.0,17.5,10170.0,160.0,101.5,JURASSIC
3266,DOLOMITE,OIL,INVERSION,SUB-SALT,EUROPE,14.0,15.0,15389.0,160.0,48.25,CRETACEOUS
3267,DOLOMITE,OIL,COMPRESSION,THRUST,FAR EAST,14.0,10.15,1320.5,1152.0,205.0,ORDOVICIAN
3268,CHALKY LIMESTONE,OIL,EXTENSION,RIFT,AFRICA,1.305,10.15,2960.5,676.9999999999999,140.0,CRETACEOUS
3269,SANDSTONE,OIL,COMPRESSION,THRUST,FORMER SOVIET UNION,361.0,26.25,1320.5,7000.0,29.75,JURASSIC
3270,LIMESTONE,OIL,INVERSION,INVERSION,FAR EAST,1.305,12.65,2960.5,160.0,71.5,JURASSIC
3271,LOW-RESISTIVITY SANDSTONE,GAS,EXTENSION,RIFT,AFRICA,161.0,26.25,15389.0,160.0,101.5,NEOGENE
3272,SANDSTONE,GAS-CONDENSATE,STRIKE-SLIP,BACKARC,FAR EAST,161.0,12.65,2960.5,1152.0,1700.5,NEOGENE
3273,SHALY SANDSTONE,GAS,COMPRESSION,THRUST,LATIN AMERICA,361.0,26.25,2960.5,475.0,205.0,PALEOGENE
3274,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,361.0,20.0,7513.5,101.0,71.5,DEVONIAN
3275,CHALK,OIL,GRAVITY,DELTA,NORTH AMERICA,5.3,41.5,4089.999999999999,7000.0,1700.5,CRETACEOUS
3276,SANDSTONE,OIL,EXTENSION,PASSIVE MARGIN,LATIN AMERICA,4350.0,26.25,2960.5,7000.0,140.0,PALEOGENE
3277,DOLOMITE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,5.3,12.65,8763.5,46.5,48.25,CRETACEOUS
3278,SANDSTONE,OIL,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,161.0,20.0,1320.5,345.0,337.5,CARBONIFEROUS
3279,SANDSTONE,OIL,GRAVITY,SALT,MIDDLE EAST,850.0,17.5,10170.0,245.0,71.5,CRETACEOUS
3280,SANDSTONE,OIL,INVERSION,BACKARC,FAR EAST,35.0,15.0,2960.5,475.0,205.0,NEOGENE
3281,SANDSTONE,OIL,INVERSION,INTRACRATONIC,FAR EAST,4350.0,26.25,1320.5,676.9999999999999,140.0,PALEOGENE
3282,DOLOMITE,OIL,COMPRESSION,SUB-THRUST,NORTH AMERICA,5.3,12.65,5153.499999999999,475.0,140.0,JURASSIC
3283,SANDSTONE,OIL,COMPRESSION,FORELAND,FORMER SOVIET UNION,850.0,22.75,4089.999999999999,101.0,29.75,TRIASSIC
3284,LIMESTONE,OIL,EXTENSION,PASSIVE MARGIN,AFRICA,35.0,10.15,1320.5,101.0,48.25,NEOGENE
3285,DOLOMITE,GAS,INVERSION,INVERSION,LATIN AMERICA,14.0,12.65,5153.499999999999,345.0,48.25,NEOGENE
3286,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,361.0,20.0,6288.5,160.0,11.5,CARBONIFEROUS
3287,SANDSTONE,GAS-CONDENSATE,GRAVITY,INTRACRATONIC,NORTH AMERICA,361.0,22.75,7513.5,160.0,48.25,JURASSIC
3288,DOLOMITIC LIMESTONE,OIL,COMPRESSION,SUB-SALT,AFRICA,14.0,5.05,4089.999999999999,46.5,11.5,NEOGENE
3289,DOLOMITE,OIL,EXTENSION,RIFT,EUROPE,14.0,10.15,10170.0,46.5,48.25,CRETACEOUS
3290,SANDSTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,1.305,10.15,6288.5,345.0,205.0,CRETACEOUS
3291,SANDSTONE,OIL,STRIKE-SLIP,WRENCH,NORTH AMERICA,161.0,22.75,7513.5,676.9999999999999,1700.5,PERMIAN
3292,DOLOMITE,GAS-CONDENSATE,COMPRESSION,FORELAND,NORTH AMERICA,161.0,12.65,8763.5,345.0,11.5,CRETACEOUS
3293,DOLOMITE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,5.3,15.0,6288.5,345.0,11.5,JURASSIC
3294,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,161.0,22.75,2960.5,101.0,48.25,CARBONIFEROUS
3295,SANDSTONE,OIL,GRAVITY,SALT,MIDDLE EAST,4350.0,41.5,5153.499999999999,245.0,140.0,JURASSIC
3296,SANDSTONE,OIL,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,361.0,26.25,7513.5,676.9999999999999,1700.5,PROTEROZOIC
3297,CONGLOMERATE,OIL,GRAVITY,SALT,MIDDLE EAST,161.0,10.15,5153.499999999999,676.9999999999999,48.25,CRETACEOUS
3298,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,41.5,4089.999999999999,46.5,29.75,PERMIAN
3299,SANDSTONE,GAS,EXTENSION,RIFT,FAR EAST,850.0,17.5,10170.0,245.0,71.5,PALEOGENE
3300,SANDSTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,NORTH AMERICA,1.305,5.05,8763.5,46.5,29.75,PALEOGENE
3301,THINLY-BEDDED SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,4350.0,41.5,1320.5,245.0,71.5,PERMIAN
3302,SANDSTONE,GAS-CONDENSATE,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,1.305,5.05,4089.999999999999,160.0,71.5,NEOGENE
3303,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,17.5,6288.5,160.0,48.25,PALEOGENE
3304,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,161.0,17.5,2960.5,7000.0,1700.5,CRETACEOUS
3305,LIMESTONE,OIL,COMPRESSION,FORELAND,FAR EAST,14.0,17.5,6288.5,676.9999999999999,101.5,CRETACEOUS
3306,SANDSTONE,OIL,INVERSION,BACKARC,FAR EAST,850.0,17.5,8763.5,475.0,101.5,ORDOVICIAN
3307,SANDSTONE,GAS-CONDENSATE,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,161.0,20.0,6288.5,160.0,29.75,NEOGENE
3308,SILTSTONE,OIL,EXTENSION,RIFT,EUROPE,850.0,22.75,8763.5,475.0,140.0,CRETACEOUS
3309,SANDSTONE,OIL,INVERSION,INVERSION,FORMER SOVIET UNION,161.0,12.65,2960.5,345.0,140.0,PROTEROZOIC
3310,SANDSTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,MIDDLE EAST,5.3,12.65,6288.5,475.0,205.0,CRETACEOUS
3311,DOLOMITE,GAS,COMPRESSION,FORELAND,MIDDLE EAST,35.0,15.0,1320.5,101.0,29.75,CRETACEOUS
3312,CONGLOMERATE,GAS,COMPRESSION,SALT,MIDDLE EAST,4350.0,5.05,15389.0,101.0,71.5,CRETACEOUS
3313,DOLOMITE,OIL,EXTENSION,RIFT,EUROPE,14.0,10.15,6288.5,46.5,29.75,TRIASSIC
3314,DOLOMITIC LIMESTONE,OIL,INVERSION,SUB-SALT,EUROPE,161.0,10.15,4089.999999999999,160.0,29.75,TRIASSIC
3315,DOLOMITE,OIL,INVERSION,INVERSION,FAR EAST,1.305,5.05,10170.0,245.0,140.0,PALEOGENE
3316,SANDSTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,NORTH AMERICA,1.305,12.65,5153.499999999999,46.5,48.25,DEVONIAN
3317,SANDSTONE,OIL,EXTENSION,PASSIVE MARGIN,LATIN AMERICA,161.0,17.5,4089.999999999999,7000.0,1700.5,PALEOGENE
3318,LIMESTONE,OIL,COMPRESSION,FORELAND,FORMER SOVIET UNION,5.3,5.05,8763.5,345.0,48.25,CARBONIFEROUS
3319,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,4350.0,26.25,7513.5,245.0,71.5,JURASSIC
3320,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,4350.0,22.75,2960.5,345.0,337.5,CRETACEOUS
3321,SANDSTONE,GAS-CONDENSATE,INVERSION,INVERSION,FAR EAST,161.0,20.0,7513.5,1152.0,205.0,NEOGENE
3322,DOLOMITE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,14.0,5.05,15389.0,245.0,71.5,PERMIAN
3323,LIMESTONE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,5.3,5.05,8763.5,245.0,48.25,CARBONIFEROUS
3324,SANDSTONE,OIL,GRAVITY,DELTA,NORTH AMERICA,4350.0,20.0,6288.5,676.9999999999999,140.0,JURASSIC
3325,DOLOMITE,OIL,STRIKE-SLIP,WRENCH,FAR EAST,14.0,10.15,5153.499999999999,101.0,29.75,NEOGENE
3326,DOLOMITE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,14.0,15.0,1320.5,101.0,11.5,NEOGENE
3327,CHALK,OIL,COMPRESSION,WRENCH,FORMER SOVIET UNION,75.0,15.0,15389.0,160.0,11.5,CARBONIFEROUS
3328,SANDSTONE,GAS-CONDENSATE,GRAVITY,SUB-SALT,NORTH AMERICA,5.3,10.15,10170.0,101.0,71.5,NEOGENE
3329,DOLOMITIC LIMESTONE,GAS,COMPRESSION,INTRACRATONIC,NORTH AMERICA,5.3,10.15,2960.5,7000.0,1700.5,CRETACEOUS
3330,LIMESTONE,OIL,INVERSION,INVERSION,EUROPE,14.0,10.15,1320.5,160.0,71.5,JURASSIC
3331,SANDSTONE,GAS,EXTENSION,BACKARC,FAR EAST,850.0,17.5,6288.5,475.0,205.0,NEOGENE
3332,DOLOMITE,OIL,INVERSION,RIFT,EUROPE,75.0,12.65,7513.5,46.5,29.75,CRETACEOUS
3333,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,FAR EAST,850.0,12.65,7513.5,676.9999999999999,337.5,PALEOGENE
3334,SANDSTONE,CARBON DIOXIDE,STRIKE-SLIP,INTRACRATONIC,NORTH AMERICA,35.0,17.5,8763.5,46.5,29.75,DEVONIAN
3335,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,161.0,17.5,8763.5,7000.0,101.5,NEOGENE
3336,DOLOMITE,GAS,COMPRESSION,INTRACRATONIC,NORTH AMERICA,35.0,10.15,7513.5,245.0,140.0,CARBONIFEROUS
3337,SANDSTONE,OIL,EXTENSION,RIFT,AFRICA,75.0,17.5,2960.5,7000.0,140.0,CARBONIFEROUS
3338,SANDSTONE,OIL,GRAVITY,DELTA,AFRICA,361.0,22.75,7513.5,160.0,71.5,CRETACEOUS
3339,SANDSTONE,OIL,COMPRESSION,FORELAND,MIDDLE EAST,4350.0,26.25,2960.5,676.9999999999999,205.0,CARBONIFEROUS
3340,CHALKY LIMESTONE,GAS,COMPRESSION,INTRACRATONIC,NORTH AMERICA,1.305,10.15,4089.999999999999,46.5,11.5,CRETACEOUS
3341,SANDSTONE,OIL,COMPRESSION,SUB-THRUST,NORTH AMERICA,4350.0,20.0,7513.5,160.0,140.0,PERMIAN
3342,SANDSTONE,OIL,COMPRESSION,THRUST,LATIN AMERICA,161.0,10.15,15389.0,7000.0,205.0,NEOGENE
3343,LIMESTONE,GAS,INVERSION,INVERSION,FAR EAST,4350.0,17.5,10170.0,475.0,29.75,PALEOGENE
3344,LOW-RESISTIVITY SANDSTONE,OIL,COMPRESSION,RIFT,FORMER SOVIET UNION,1.305,10.15,6288.5,676.9999999999999,140.0,CARBONIFEROUS
3345,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,161.0,22.75,1320.5,46.5,11.5,CRETACEOUS
3346,SANDSTONE,OIL,COMPRESSION,THRUST,LATIN AMERICA,4350.0,26.25,1320.5,7000.0,1700.5,NEOGENE
3347,LIMESTONE,OIL,UPLIFT,INTRACRATONIC,NORTH AMERICA,35.0,17.5,5153.499999999999,160.0,11.5,DEVONIAN
3348,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,15.0,7513.5,676.9999999999999,337.5,PERMIAN
3349,SANDSTONE,OIL,COMPRESSION,THRUST,NORTH AMERICA,361.0,22.75,1320.5,475.0,140.0,CRETACEOUS
3350,SANDSTONE,OIL,GRAVITY,SALT,NORTH AMERICA,161.0,12.65,7513.5,245.0,29.75,CARBONIFEROUS
3351,SILTSTONE,OIL,COMPRESSION,THRUST,FAR EAST,850.0,22.75,15389.0,46.5,29.75,ARCHEAN
3352,SANDSTONE,OIL,COMPRESSION,SUB-THRUST,NORTH AMERICA,5.3,15.0,15389.0,101.0,71.5,DEVONIAN
3353,SANDSTONE,OIL,EXTENSION,PASSIVE MARGIN,FAR EAST,161.0,17.5,4089.999999999999,1152.0,205.0,ARCHEAN
