,Hydrocarbon_type_(main),Depth_(top_reservoir_ft_TVD),Tectonic_regime,Structural_setting,Region,Thickness_(gross_average_ft),Thickness_(net_pay_average_ft),Reservoir_period,Lithology_(main),Permeability_(air_average_mD),Porosity_(matrix_average_%)
3176,OIL,6288.5,COMPRESSION,INTRACRATONIC,NORTH AMERICA,1152.0,1700.5,DEVONIAN,CHERT,5.3,20.0
3177,GAS,15389.0,GRAVITY,DELTA,NORTH AMERICA,475.0,205.0,PALEOGENE,SANDSTONE,4350.0,22.75
3178,OIL,6288.5,INVERSION,RIFT,FAR EAST,101.0,48.25,PALEOGENE,SANDSTONE,850.0,41.5
3179,OIL,8763.5,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,1152.0,29.75,CRETACEOUS,SANDSTONE,161.0,22.75
3180,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,676.9999999999999,1700.5,PERMIAN,SANDSTONE,361.0,22.75
3181,GAS,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,345.0,140.0,PERMIAN,SILTSTONE,850.0,41.5
3182,OIL,4089.999999999999,COMPRESSION,SALT,MIDDLE EAST,46.5,29.75,CAMBRIAN,SANDSTONE,161.0,10.15
3183,OIL,2960.5,COMPRESSION,SALT,MIDDLE EAST,345.0,140.0,JURASSIC,DOLOMITE,35.0,17.5
3184,GAS-CONDENSATE,15389.0,INVERSION,RIFT,AFRICA,7000.0,337.5,PALEOGENE,LIMESTONE,35.0,22.75
3185,OIL,7513.5,INVERSION,SUB-SALT,EUROPE,1152.0,1700.5,PERMIAN,SANDSTONE,35.0,17.5
3186,OIL,6288.5,COMPRESSION,WRENCH,NORTH AMERICA,245.0,71.5,NEOGENE,SANDSTONE,850.0,20.0
3187,GAS-CONDENSATE,10170.0,INVERSION,RIFT,FAR EAST,676.9999999999999,337.5,PALEOGENE,SANDSTONE,161.0,20.0
3188,OIL,5153.499999999999,INVERSION,INVERSION,FAR EAST,160.0,11.5,NEOGENE,SANDSTONE,35.0,20.0
3189,OIL,7513.5,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,1152.0,71.5,DEVONIAN,SANDSTONE,161.0,22.75
3190,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,245.0,337.5,PERMIAN,DOLOMITE,5.3,15.0
3191,OIL,7513.5,EXTENSION,RIFT,FAR EAST,160.0,48.25,CRETACEOUS,SANDSTONE,5.3,15.0
3192,OIL,7513.5,EXTENSION,RIFT,AFRICA,345.0,337.5,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,850.0,26.25
3193,GAS,6288.5,GRAVITY,SALT,LATIN AMERICA,676.9999999999999,48.25,CRETACEOUS,CONGLOMERATE,75.0,22.75
3194,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,245.0,29.75,CARBONIFEROUS,DOLOMITE,5.3,10.15
3195,OIL,10170.0,EXTENSION,PASSIVE MARGIN,LATIN AMERICA,245.0,205.0,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,75.0,22.75
3196,OIL,10170.0,EXTENSION,RIFT,FAR EAST,160.0,101.5,NEOGENE,LIMESTONE,161.0,22.75
3197,OIL,5153.499999999999,COMPRESSION,INTRACRATONIC,NORTH AMERICA,101.0,71.5,PALEOGENE,SANDSTONE,161.0,10.15
3198,OIL,5153.499999999999,STRIKE-SLIP,BACKARC,FAR EAST,160.0,71.5,NEOGENE,SANDSTONE,361.0,15.0
3199,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,11.5,CRETACEOUS,SANDSTONE,75.0,17.5
3200,OIL,2960.5,COMPRESSION,THRUST,FORMER SOVIET UNION,46.5,29.75,NEOGENE,SANDSTONE,4350.0,12.65
3201,OIL,6288.5,INVERSION,INVERSION,FAR EAST,676.9999999999999,101.5,PALEOGENE,SANDSTONE,361.0,15.0
3202,OIL,10170.0,STRIKE-SLIP,WRENCH,NORTH AMERICA,46.5,11.5,NEOGENE,THINLY-BEDDED SANDSTONE,4350.0,41.5
3203,OIL,6288.5,EXTENSION,RIFT,EUROPE,160.0,29.75,PERMIAN,SANDSTONE,35.0,22.75
3204,GAS,5153.499999999999,COMPRESSION,FORELAND,NORTH AMERICA,46.5,29.75,JURASSIC,DOLOMITE,1.305,5.05
3205,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,245.0,29.75,CARBONIFEROUS,DOLOMITE,14.0,10.15
3206,OIL,7513.5,COMPRESSION,FORELAND,FAR EAST,7000.0,140.0,JURASSIC,SANDSTONE,850.0,41.5
3207,OIL,8763.5,INVERSION,INVERSION,FAR EAST,7000.0,1700.5,NEOGENE,LIMESTONE,161.0,22.75
3208,OIL,10170.0,INVERSION,INVERSION,FAR EAST,475.0,337.5,PALEOGENE,SANDSTONE,4350.0,41.5
3209,OIL,8763.5,EXTENSION,RIFT,EUROPE,676.9999999999999,1700.5,JURASSIC,THINLY-BEDDED SANDSTONE,361.0,17.5
3210,GAS-CONDENSATE,6288.5,INVERSION,INVERSION,FAR EAST,676.9999999999999,337.5,CRETACEOUS,GLAUCONITIC SANDSTONE,850.0,22.75
3211,OIL,4089.999999999999,INVERSION,FORELAND,MIDDLE EAST,1152.0,205.0,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,850.0,41.5
3212,GAS-CONDENSATE,7513.5,STRIKE-SLIP,WRENCH,FAR EAST,160.0,29.75,JURASSIC,SANDSTONE,1.305,5.05
3213,OIL,6288.5,EXTENSION,PASSIVE MARGIN,FAR EAST,1152.0,337.5,PALEOGENE,SANDSTONE,35.0,15.0
3214,OIL,2960.5,INVERSION,RIFT,FAR EAST,245.0,140.0,PALEOGENE,SANDSTONE,4350.0,41.5
3215,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,1152.0,1700.5,DEVONIAN,DOLOMITE,1.305,10.15
3216,OIL,6288.5,STRIKE-SLIP,INVERSION,FORMER SOVIET UNION,245.0,11.5,NEOGENE,SANDSTONE,35.0,15.0
3217,OIL,4089.999999999999,COMPRESSION,FORELAND,NORTH AMERICA,475.0,29.75,PERMIAN,DOLOMITE,35.0,15.0
3218,GAS,8763.5,GRAVITY,SALT,NORTH AMERICA,345.0,205.0,CRETACEOUS,SANDSTONE,361.0,17.5
3219,OIL,7513.5,EXTENSION,SUB-SALT,AFRICA,345.0,140.0,NEOGENE,SANDSTONE,4350.0,41.5
3220,OIL,5153.499999999999,GRAVITY,SALT,MIDDLE EAST,160.0,101.5,JURASSIC,LIMESTONE,35.0,20.0
3221,GAS-CONDENSATE,15389.0,GRAVITY,SALT,MIDDLE EAST,676.9999999999999,48.25,CRETACEOUS,LIMESTONE,75.0,12.65
3222,GAS,10170.0,INVERSION,SALT,EUROPE,46.5,11.5,CRETACEOUS,SANDSTONE,850.0,17.5
3223,OIL,7513.5,COMPRESSION,THRUST,FAR EAST,7000.0,337.5,PALEOGENE,SANDSTONE,4350.0,41.5
3224,GAS,6288.5,GRAVITY,DELTA,NORTH AMERICA,46.5,29.75,PALEOGENE,SANDSTONE,4350.0,41.5
3225,OIL,8763.5,EVAPORITE,PASSIVE MARGIN,AFRICA,101.0,71.5,NEOGENE,SANDSTONE,1.305,5.05
3226,OIL,8763.5,COMPRESSION,FORELAND,NORTH AMERICA,345.0,140.0,CARBONIFEROUS,LIMESTONE,161.0,10.15
3227,OIL,7513.5,INVERSION,INVERSION,FAR EAST,101.0,101.5,PALEOGENE,SANDSTONE,1.305,5.05
3228,GAS-CONDENSATE,8763.5,GRAVITY,PASSIVE MARGIN,AFRICA,245.0,71.5,CRETACEOUS,SANDSTONE,161.0,17.5
3229,OIL,1320.5,STRIKE-SLIP,WRENCH,NORTH AMERICA,475.0,337.5,NEOGENE,SANDSTONE,361.0,22.75
3230,OIL,5153.499999999999,COMPRESSION,FORELAND,NORTH AMERICA,1152.0,71.5,JURASSIC,SANDSTONE,35.0,10.15
3231,OIL,1320.5,INVERSION,RIFT,EUROPE,245.0,101.5,JURASSIC,SANDSTONE,75.0,15.0
3232,OIL,15389.0,EXTENSION,SUB-SALT,AFRICA,1152.0,337.5,CARBONIFEROUS,SANDSTONE,1.305,41.5
3233,OIL,5153.499999999999,COMPRESSION,THRUST,NORTH AMERICA,345.0,337.5,CARBONIFEROUS,DOLOMITE,5.3,26.25
3234,GAS,4089.999999999999,EXTENSION,FORELAND,NORTH AMERICA,160.0,140.0,CARBONIFEROUS,CONGLOMERATE,161.0,12.65
3235,GAS-CONDENSATE,10170.0,INVERSION,INVERSION,FAR EAST,7000.0,1700.5,CRETACEOUS,SANDSTONE,161.0,22.75
3236,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,676.9999999999999,205.0,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,75.0,12.65
3237,GAS-CONDENSATE,15389.0,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,475.0,101.5,CRETACEOUS,LIMESTONE,14.0,12.65
3238,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,29.75,CRETACEOUS,SANDSTONE,161.0,17.5
3239,OIL,8763.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,11.5,DEVONIAN,DOLOMITE,5.3,10.15
3240,OIL,2960.5,COMPRESSION,THRUST,NORTH AMERICA,160.0,71.5,NEOGENE,SANDSTONE,850.0,26.25
3241,OIL,10170.0,COMPRESSION,FORELAND,EUROPE,245.0,101.5,CRETACEOUS,CHALK,1.305,10.15
3242,OIL,4089.999999999999,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,245.0,101.5,JURASSIC,SANDSTONE,161.0,26.25
3243,GAS,10170.0,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,1152.0,205.0,DEVONIAN,SANDSTONE,75.0,5.05
3244,OIL,8763.5,COMPRESSION,FORELAND,NORTH AMERICA,475.0,101.5,CRETACEOUS,SANDSTONE,4350.0,41.5
3245,GAS-CONDENSATE,15389.0,EXTENSION,PASSIVE MARGIN,FAR EAST,475.0,11.5,PALEOGENE,SANDSTONE,35.0,10.15
3246,OIL,1320.5,COMPRESSION,THRUST,FAR EAST,7000.0,71.5,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,161.0,20.0
3247,OIL,2960.5,EXTENSION,PASSIVE MARGIN,AFRICA,160.0,29.75,CRETACEOUS,SANDSTONE,1.305,17.5
3248,OIL,15389.0,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,7000.0,1700.5,CRETACEOUS,SANDSTONE,4350.0,17.5
3249,OIL,15389.0,INVERSION,RIFT,FAR EAST,676.9999999999999,337.5,PALEOGENE,SANDSTONE,35.0,15.0
3250,OIL,8763.5,EXTENSION,RIFT,FAR EAST,676.9999999999999,11.5,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,850.0,41.5
3251,OIL,5153.499999999999,INVERSION,RIFT,EUROPE,475.0,205.0,JURASSIC,SANDSTONE,850.0,26.25
3252,OIL,5153.499999999999,COMPRESSION,INTRACRATONIC,NORTH AMERICA,101.0,101.5,DEVONIAN,DOLOMITE,75.0,15.0
3253,OIL,15389.0,COMPRESSION,SALT,MIDDLE EAST,101.0,71.5,JURASSIC,DOLOMITE,5.3,12.65
3254,OIL,5153.499999999999,COMPRESSION,FORELAND,NORTH AMERICA,101.0,71.5,CRETACEOUS,SANDSTONE,4350.0,20.0
3255,GAS,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,46.5,11.5,DEVONIAN,DOLOMITE,75.0,10.15
3256,OIL,5153.499999999999,INVERSION,INVERSION,FAR EAST,1152.0,1700.5,NEOGENE,SANDSTONE,75.0,10.15
3257,OIL,5153.499999999999,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,7000.0,29.75,CRETACEOUS,SANDSTONE,850.0,26.25
3258,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,48.25,CRETACEOUS,LIMESTONE,35.0,17.5
3259,OIL,5153.499999999999,COMPRESSION,THRUST,FAR EAST,676.9999999999999,101.5,PALEOGENE,SANDSTONE,75.0,17.5
3260,GAS,6288.5,INVERSION,SALT,EUROPE,46.5,11.5,CRETACEOUS,SANDSTONE,850.0,17.5
3261,GAS,6288.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,11.5,DEVONIAN,DOLOMITE,14.0,10.15
3262,OIL,6288.5,EXTENSION,SUB-SALT,AFRICA,160.0,71.5,PALEOZOIC,SANDSTONE,4350.0,41.5
3263,GAS-CONDENSATE,15389.0,GRAVITY,SALT,EUROPE,345.0,48.25,JURASSIC,SANDSTONE,161.0,10.15
3264,GAS-CONDENSATE,8763.5,COMPRESSION,SALT,MIDDLE EAST,245.0,205.0,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,161.0,22.75
3265,OIL,5153.499999999999,COMPRESSION,THRUST,LATIN AMERICA,7000.0,337.5,CRETACEOUS,LIMESTONE,14.0,10.15
3266,OIL,8763.5,EXTENSION,RIFT,EUROPE,676.9999999999999,1700.5,JURASSIC,SANDSTONE,5.3,10.15
3267,OIL,15389.0,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,1152.0,337.5,JURASSIC,SANDSTONE,75.0,10.15
3268,OIL,5153.499999999999,EXTENSION,INTRACRATONIC,EUROPE,345.0,205.0,CRETACEOUS,CHALK,1.305,10.15
3269,OIL,2960.5,INVERSION,SUB-SALT,EUROPE,245.0,71.5,PERMIAN,SANDSTONE,14.0,5.05
3270,OIL,8763.5,COMPRESSION,FORELAND,FAR EAST,7000.0,1700.5,JURASSIC,SANDSTONE,4350.0,41.5
3271,OIL,5153.499999999999,COMPRESSION,SALT,MIDDLE EAST,160.0,11.5,CRETACEOUS,LIMESTONE,35.0,17.5
3272,OIL,4089.999999999999,EXTENSION,RIFT,LATIN AMERICA,1152.0,101.5,CRETACEOUS,CONGLOMERATE,75.0,22.75
3273,GAS,4089.999999999999,COMPRESSION,THRUST,LATIN AMERICA,7000.0,205.0,PALEOGENE,SANDSTONE,14.0,10.15
3274,GAS-CONDENSATE,4089.999999999999,INVERSION,SALT,EUROPE,245.0,48.25,CRETACEOUS,THINLY-BEDDED SANDSTONE,75.0,15.0
3275,OIL,8763.5,COMPRESSION,INTRACRATONIC,NORTH AMERICA,7000.0,71.5,CARBONIFEROUS,DOLOMITE,14.0,12.65
3276,GAS,6288.5,INVERSION,INVERSION,FAR EAST,475.0,140.0,NEOGENE,LIMESTONE,361.0,17.5
3277,OIL,7513.5,INVERSION,RIFT,EUROPE,475.0,101.5,JURASSIC,SANDSTONE,361.0,15.0
3278,OIL,5153.499999999999,EXTENSION,RIFT,EUROPE,46.5,29.75,JURASSIC,SANDSTONE,850.0,26.25
3279,OIL,1320.5,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,7000.0,1700.5,CRETACEOUS,SANDSTONE,75.0,26.25
3280,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,7000.0,1700.5,PERMIAN,SILTSTONE,1.305,41.5
3281,OIL,8763.5,EXTENSION,INTRACRATONIC,NORTH AMERICA,160.0,11.5,CARBONIFEROUS,DOLOMITE,35.0,15.0
3282,OIL,5153.499999999999,STRIKE-SLIP,INTRACRATONIC,NORTH AMERICA,475.0,29.75,TRIASSIC,SANDSTONE,1.305,5.05
3283,GAS,7513.5,STRIKE-SLIP,BACKARC,FAR EAST,676.9999999999999,1700.5,NEOGENE,LIMESTONE,161.0,17.5
3284,OIL,1320.5,GRAVITY,SALT,NORTH AMERICA,345.0,337.5,CRETACEOUS,SANDSTONE,850.0,41.5
3285,OIL,7513.5,COMPRESSION,SUB-THRUST,NORTH AMERICA,46.5,11.5,CARBONIFEROUS,SANDSTONE,4350.0,26.25
3286,GAS,10170.0,COMPRESSION,THRUST,NORTH AMERICA,46.5,11.5,SILURIAN,DOLOMITE,5.3,26.25
3287,GAS-CONDENSATE,15389.0,EXTENSION,RIFT,EUROPE,245.0,205.0,JURASSIC,SANDSTONE,35.0,17.5
3288,OIL,5153.499999999999,COMPRESSION,SUB-THRUST,NORTH AMERICA,7000.0,205.0,CARBONIFEROUS,DOLOMITE,5.3,15.0
3289,OIL,7513.5,COMPRESSION,RIFT,FORMER SOVIET UNION,345.0,337.5,PROTEROZOIC,SANDSTONE,35.0,20.0
3290,OIL,6288.5,COMPRESSION,THRUST,LATIN AMERICA,46.5,29.75,NEOGENE,THINLY-BEDDED SANDSTONE,850.0,41.5
3291,OIL,15389.0,GRAVITY,DELTA,AFRICA,475.0,140.0,NEOGENE,SANDSTONE,35.0,10.15
3292,OIL,4089.999999999999,COMPRESSION,FORELAND,NORTH AMERICA,46.5,29.75,DEVONIAN,LIMESTONE,35.0,17.5
3293,OIL,8763.5,COMPRESSION,FORELAND,NORTH AMERICA,345.0,140.0,DEVONIAN,DOLOMITE,161.0,10.15
3294,OIL,1320.5,COMPRESSION,FORELAND,FORMER SOVIET UNION,676.9999999999999,1700.5,CARBONIFEROUS,SANDSTONE,5.3,10.15
3295,OIL,4089.999999999999,EXTENSION,RIFT,FAR EAST,1152.0,337.5,PROTEROZOIC,DOLOMITE,850.0,17.5
3296,OIL,1320.5,INVERSION,RIFT,FAR EAST,245.0,48.25,NEOGENE,SANDSTONE,161.0,22.75
3297,GAS,15389.0,COMPRESSION,INTRACRATONIC,NORTH AMERICA,475.0,337.5,TRIASSIC,SANDSTONE,361.0,22.75
3298,GAS-CONDENSATE,15389.0,STRIKE-SLIP,INVERSION,FORMER SOVIET UNION,46.5,11.5,PROTEROZOIC,DOLOMITE,161.0,10.15
3299,OIL,6288.5,EXTENSION,RIFT,FAR EAST,7000.0,1700.5,NEOGENE,THINLY-BEDDED SANDSTONE,75.0,20.0
3300,GAS,4089.999999999999,STRIKE-SLIP,WRENCH,AFRICA,160.0,71.5,NEOGENE,SANDSTONE,4350.0,41.5
3301,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,160.0,29.75,DEVONIAN,LIMESTONE,14.0,10.15
3302,OIL,7513.5,INVERSION,INVERSION,FAR EAST,7000.0,140.0,NEOGENE,SANDSTONE,361.0,22.75
3303,OIL,4089.999999999999,INVERSION,INVERSION,FAR EAST,1152.0,205.0,NEOGENE,SANDSTONE,4350.0,41.5
3304,OIL,8763.5,COMPRESSION,SALT,MIDDLE EAST,345.0,337.5,JURASSIC,LIMESTONE,75.0,26.25
3305,OIL,2960.5,INVERSION,FORELAND,NORTH AMERICA,475.0,140.0,CRETACEOUS,SANDSTONE,161.0,10.15
3306,OIL,1320.5,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,46.5,11.5,CRETACEOUS,SANDSTONE,161.0,17.5
3307,OIL,6288.5,COMPRESSION,FORELAND,NORTH AMERICA,245.0,101.5,DEVONIAN,LIMESTONE,161.0,10.15
3308,OIL,1320.5,INVERSION,RIFT,FAR EAST,160.0,140.0,PALEOGENE,SANDSTONE,4350.0,26.25
3309,OIL,10170.0,EXTENSION,RIFT,FAR EAST,1152.0,1700.5,PALEOGENE,SANDSTONE,1.305,10.15
3310,OIL,5153.499999999999,COMPRESSION,FORELAND,NORTH AMERICA,345.0,205.0,CRETACEOUS,SANDSTONE,4350.0,26.25
3311,OIL,6288.5,COMPRESSION,FORELAND,NORTH AMERICA,475.0,205.0,PERMIAN,DOLOMITE,75.0,10.15
3312,GAS,15389.0,INVERSION,INVERSION,LATIN AMERICA,345.0,101.5,CRETACEOUS,CONGLOMERATE,75.0,15.0
3313,OIL,15389.0,EXTENSION,RIFT,AFRICA,475.0,101.5,PALEOGENE,LIMESTONE,4350.0,41.5
3314,OIL,7513.5,COMPRESSION,INTRACRATONIC,FAR EAST,345.0,140.0,CRETACEOUS,SANDSTONE,35.0,22.75
3315,OIL,15389.0,COMPRESSION,FORELAND,NORTH AMERICA,160.0,48.25,PERMIAN,DOLOMITE,1.305,5.05
3316,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,29.75,CRETACEOUS,SANDSTONE,361.0,20.0
3317,OIL,10170.0,EXTENSION,RIFT,FAR EAST,676.9999999999999,101.5,PALEOGENE,SANDSTONE,1.305,10.15
3318,OIL,15389.0,EXTENSION,WRENCH,FAR EAST,1152.0,205.0,NEOGENE,LIMESTONE,1.305,15.0
3319,OIL,6288.5,COMPRESSION,FORELAND,MIDDLE EAST,1152.0,101.5,JURASSIC,LIMESTONE,35.0,17.5
3320,OIL,5153.499999999999,COMPRESSION,FORELAND,NORTH AMERICA,101.0,71.5,PERMIAN,DOLOMITE,14.0,12.65
3321,OIL,1320.5,INVERSION,BACKARC,FAR EAST,160.0,101.5,NEOGENE,LOW-RESISTIVITY SANDSTONE,161.0,15.0
3322,OIL,7513.5,COMPRESSION,FORELAND,FORMER SOVIET UNION,345.0,337.5,CARBONIFEROUS,LIMESTONE,14.0,10.15
3323,OIL,15389.0,INVERSION,INVERSION,EUROPE,245.0,140.0,CRETACEOUS,CHALK,1.305,12.65
3324,GAS,7513.5,COMPRESSION,FORELAND,MIDDLE EAST,245.0,29.75,PALEOGENE,LIMESTONE,35.0,5.05
3325,OIL,5153.499999999999,EXTENSION,RIFT,FAR EAST,676.9999999999999,101.5,PALEOGENE,LIMESTONE,35.0,17.5
3326,OIL,4089.999999999999,COMPRESSION,WRENCH,NORTH AMERICA,475.0,29.75,NEOGENE,SANDSTONE,4350.0,22.75
3327,GAS,7513.5,INVERSION,RIFT,EUROPE,245.0,205.0,CRETACEOUS,THINLY-BEDDED SANDSTONE,361.0,41.5
3328,OIL,4089.999999999999,COMPRESSION,FORELAND,NORTH AMERICA,46.5,29.75,PALEOGENE,SANDSTONE,161.0,22.75
3329,OIL,2960.5,STRIKE-SLIP,THRUST,LATIN AMERICA,1152.0,205.0,PALEOGENE,SANDSTONE,4350.0,41.5
3330,OIL,8763.5,COMPRESSION,RIFT,FORMER SOVIET UNION,101.0,11.5,PROTEROZOIC,SANDSTONE,850.0,26.25
3331,OIL,10170.0,INVERSION,INVERSION,FAR EAST,676.9999999999999,101.5,PALEOGENE,SANDSTONE,35.0,15.0
3332,OIL,15389.0,EXTENSION,RIFT,AFRICA,1152.0,1700.5,PALEOGENE,LIMESTONE,75.0,20.0
3333,GAS,15389.0,COMPRESSION,FORELAND,NORTH AMERICA,46.5,11.5,JURASSIC,SANDSTONE,14.0,10.15
3334,OIL,8763.5,EXTENSION,RIFT,AFRICA,676.9999999999999,337.5,CRETACEOUS,LIMESTONE,161.0,20.0
3335,OIL,2960.5,EXTENSION,INTRACRATONIC,EUROPE,475.0,1700.5,CRETACEOUS,CHALK,1.305,5.05
3336,OIL,2960.5,COMPRESSION,SUB-THRUST,NORTH AMERICA,475.0,140.0,JURASSIC,DOLOMITE,35.0,15.0
3337,OIL,2960.5,COMPRESSION,THRUST,NORTH AMERICA,245.0,140.0,CARBONIFEROUS,SANDSTONE,161.0,15.0
3338,OIL,1320.5,INVERSION,INVERSION,FAR EAST,245.0,29.75,NEOGENE,SANDSTONE,161.0,5.05
3339,OIL,10170.0,INVERSION,INVERSION,FAR EAST,7000.0,140.0,PALEOGENE,SANDSTONE,4350.0,22.75
3340,OIL,2960.5,EXTENSION,RIFT,EUROPE,245.0,11.5,JURASSIC,SANDSTONE,161.0,10.15
3341,OIL,6288.5,EXTENSION,RIFT,EUROPE,160.0,29.75,JURASSIC,SANDSTONE,361.0,22.75
3342,OIL,6288.5,COMPRESSION,SUB-SALT,AFRICA,1152.0,29.75,PALEOZOIC,SANDSTONE,35.0,22.75
3343,GAS-CONDENSATE,6288.5,INVERSION,BACKARC,FAR EAST,1152.0,1700.5,NEOGENE,SANDSTONE,5.3,10.15
3344,OIL,5153.499999999999,COMPRESSION,INTRACRATONIC,NORTH AMERICA,1152.0,29.75,PALEOGENE,SHALY SANDSTONE,1.305,17.5
3345,METHANE HYDRATE,2960.5,COMPRESSION,WRENCH,FORMER SOVIET UNION,46.5,11.5,CRETACEOUS,SANDSTONE,4350.0,41.5
3346,GAS-CONDENSATE,7513.5,INVERSION,FORELAND,MIDDLE EAST,245.0,29.75,CRETACEOUS,CHALKY LIMESTONE,5.3,12.65
3347,OIL,10170.0,INVERSION,INVERSION,FAR EAST,7000.0,1700.5,NEOGENE,SANDSTONE,361.0,12.65
3348,GAS,15389.0,INVERSION,FORELAND,NORTH AMERICA,101.0,11.5,SILURIAN,DOLOMITIC LIMESTONE,1.305,15.0
3349,OIL,2960.5,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,101.0,71.5,CRETACEOUS,SANDSTONE,4350.0,26.25
3350,OIL,8763.5,COMPRESSION,FORELAND,NORTH AMERICA,676.9999999999999,337.5,CRETACEOUS,SANDSTONE,361.0,26.25
3351,OIL,7513.5,COMPRESSION,FORELAND,MIDDLE EAST,7000.0,1700.5,CRETACEOUS,LIMESTONE,14.0,10.15
3352,GAS,15389.0,TRANSTENSION,WRENCH,FAR EAST,1152.0,337.5,NEOGENE,SANDSTONE,4350.0,41.5
3353,OIL,6288.5,EXTENSION,RIFT,EUROPE,1152.0,101.5,TRIASSIC,DOLOMITE,14.0,5.05
3354,OIL,4089.999999999999,COMPRESSION,INTRACRATONIC,NORTH AMERICA,46.5,71.5,CARBONIFEROUS,DOLOMITE,850.0,41.5
3355,OIL,5153.499999999999,EXTENSION,RIFT,AFRICA,676.9999999999999,337.5,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,75.0,10.15
3356,GAS,2960.5,EXTENSION,RIFT,AFRICA,160.0,101.5,CAMBRIAN,SANDSTONE,850.0,41.5
3357,OIL,1320.5,COMPRESSION,FORELAND,FAR EAST,7000.0,140.0,ORDOVICIAN,DOLOMITE,35.0,17.5
3358,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,7000.0,337.5,PERMIAN,DOLOMITE,35.0,12.65
3359,OIL,4089.999999999999,GRAVITY,SALT,NORTH AMERICA,7000.0,140.0,JURASSIC,SANDSTONE,4350.0,41.5
3360,OIL,10170.0,COMPRESSION,FORELAND,MIDDLE EAST,676.9999999999999,101.5,PALEOGENE,DOLOMITIC LIMESTONE,14.0,10.15
3361,GAS-CONDENSATE,15389.0,GRAVITY,SALT,EUROPE,345.0,205.0,PALEOGENE,SANDSTONE,161.0,20.0
3362,OIL,2960.5,STRIKE-SLIP,WRENCH,NORTH AMERICA,46.5,29.75,NEOGENE,LOW-RESISTIVITY SANDSTONE,75.0,17.5
3363,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,1152.0,140.0,PERMIAN,DOLOMITE,14.0,10.15
3364,GAS,5153.499999999999,INVERSION,RIFT,FAR EAST,1152.0,1700.5,PALEOGENE,SANDSTONE,1.305,26.25
3365,OIL,8763.5,GRAVITY,SALT,NORTH AMERICA,46.5,11.5,NEOGENE,SANDSTONE,14.0,26.25
3366,OIL,6288.5,INVERSION,RIFT,AFRICA,101.0,29.75,CRETACEOUS,LIMESTONE,161.0,12.65
3367,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,245.0,29.75,PERMIAN,DOLOMITE,1.305,41.5
3368,OIL,10170.0,EXTENSION,RIFT,EUROPE,676.9999999999999,1700.5,JURASSIC,SANDSTONE,35.0,10.15
3369,GAS,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,160.0,48.25,PERMIAN,DOLOMITE,14.0,17.5
3370,OIL,5153.499999999999,INVERSION,RIFT,FAR EAST,245.0,205.0,PALEOGENE,SANDSTONE,850.0,17.5
3371,OIL,2960.5,COMPRESSION,RIFT,FORMER SOVIET UNION,345.0,205.0,PROTEROZOIC,SANDSTONE,850.0,12.65
3372,OIL,7513.5,INVERSION,INVERSION,EUROPE,245.0,71.5,CRETACEOUS,SANDSTONE,4350.0,26.25
3373,GAS,2960.5,COMPRESSION,THRUST,LATIN AMERICA,7000.0,140.0,PALEOGENE,SANDSTONE,161.0,12.65
